1,0.6,0.93,0.74,1.07
6,1.77,4.99,4.66,4.73
12,3.15,9.79,8.1,9.31
18,4.37,13.15,11.11,13.89
24,5.39,17.19,12.86,18.42
30,3.54,13.24,8.04,23.13
36,3.43,10.68,6.57,27.2
42,3.24,7.64,4.84,27.84
48,3.75,7.6,4.52,28.87
