1,0.7,1.09,0.55,0.88,0.66,1.53
6,3.06,2.86,3.13,4.09,2.44,6.75
12,5.43,3.32,5.09,7.52,3.47,12.21
18,7.5,3.57,7.07,10.57,3.88,17.53
24,9.09,3.76,8.9,13.39,3.76,21.52
30,6.94,3.98,6.16,12.0,4.25,22.88
36,7.25,4.12,5.62,13.95,3.83,25.07
42,6.63,4.18,6.75,15.76,3.4,29.42
48,5.29,4.2,6.77,19.83,3.06,32.93
