1,0.57,1.2,0.48,0.8,0.93,0.57,1.84
6,2.57,2.5,2.3,4.84,4.22,2.19,7.88
12,4.56,3.01,3.68,8.77,7.53,3.76,14.1
18,6.18,2.66,5.33,13.78,10.47,4.69,18.86
24,7.23,2.41,6.32,16.78,13.39,5.59,25.81
30,5.51,2.11,5.34,15.27,13.09,7.04,27.62
36,5.54,2.2,4.3,15.45,15.21,7.37,31.53
42,4.7,2.15,4.46,18.13,17.33,8.04,30.94
48,4.33,2.2,3.38,19.85,17.06,7.41,28.26
