1,1.1,0.82,1.02,0.76,1.14,1.19
6,6.11,3.31,3.91,3.02,3.77,5.43
12,11.26,5.94,5.82,5.8,6.97,10.17
18,15.2,8.35,8.23,8.76,9.83,14.36
24,18.66,10.55,10.87,11.2,12.58,18.76
30,24.15,12.47,12.39,12.7,12.94,20.45
36,27.9,14.4,13.92,16.27,15.04,23.77
42,31.06,15.65,15.11,17.32,16.98,26.9
48,33.54,17.57,15.79,17.65,18.91,30.97
