1,0.97,0.8,1.04
6,5.09,5.15,5.23
12,9.38,9.81,9.54
18,13.42,14.23,13.09
24,16.92,17.71,15.88
30,7.13,10.82,11.69
36,5.96,7.64,12.01
42,5.4,6.99,10.98
48,4.92,6.57,10.92
